ID,SLOPE,ELEVATION,FLOWACC,DIST_TO_STREAM,ROCK_TYPE,LANDSLIDE
89,40.87297058,2112,8,117.5613213,augen_gneiss,1
91,19.60749435,2155,1,223.420105,silicate_marble_quartzite,1
92,15.93062496,1510,1192,1117.352108,augen_gneiss,1
93,25.44478798,2017,14,380.5432654,augen_gneiss,1
94,36.02184677,1819,29,507.8295565,augen_gneiss,1
95,21.1336956,1510,13,85.33993435,augen_gneiss,1
96,23.7090168,1295,252,533.7067065,augen_gneiss,1
97,33.1437149,1519,34,1960.256829,granite_gneiss,1
98,29.71122742,1054,11,1100.470719,granite_gneiss,1
99,21.14997101,1048,362,617.0108083,granite_gneiss,1
101,27.33454895,1045,3,278.0952485,granite_gneiss,1
102,26.39942169,1322,182,81.68446934,quartzite_schist,1
103,48.98374557,1768,5,29.72765439,augen_gneiss,1
104,22.59753418,1688,0,524.170991,augen_gneiss,1
105,42.80895615,1263,11,334.9310301,augen_gneiss,1
106,29.5008297,1569,0,587.7107898,augen_gneiss,1
107,35.95381927,2618,7,7.54592801,augen_gneiss,1
108,37.26245499,1768,2,995.5472886,granite_gneiss,1
109,38.58690262,1912,5,989.7506705,augen_gneiss,1
111,23.99259949,2072,17,683.1075084,silicate_marble_quartzite,1
112,10.88580227,1751,6,1012.056625,silicate_marble_quartzite,1
113,30.74411201,1419,4,216.2525005,augen_gneiss,1
114,34.27669144,1867,4,490.0124313,augen_gneiss,1
115,47.55101395,1938,1,1500.669423,augen_gneiss,1
116,35.32733917,2229,0,1534.448839,augen_gneiss,1
117,39.1122818,2195,4512,24.02365022,augen_gneiss,1
118,42.21467972,1920,138,1258.376145,augen_gneiss,1
119,22.45933151,1848,57,1344.166958,augen_gneiss,1
121,32.9920845,2176,0,1028.154504,augen_gneiss,1
122,45.09192657,2592,16,970.6191837,silicate_marble_quartzite,1
123,34.41179276,2626,31,1510.917802,silicate_marble_quartzite,1
124,31.67746162,2617,3,138.6612805,silicate_marble_quartzite,1
125,16.43006134,2093,10,1521.177377,quartzite_schist,1
126,25.79354668,2020,6,913.3024734,granite_gneiss,1
127,46.77624893,1372,7,32.27715338,quartzite_schist,1
128,31.30571175,1621,1,49.92295497,quartzite_schist,1
129,47.29011917,1964,2,90.00344538,quartzite_schist,1
131,20.6034317,1732,1,941.8025748,quartzite_schist,1
132,39.87843704,1895,0,1294.426306,quartzite_schist,1
133,21.41036415,1537,2,577.3995403,quartzite_schist,1
134,31.24978065,1102,1,1250.712619,granite_gneiss,1
135,26.91903114,1599,13,1533.18208,quartzite_schist,1
1,11.25220871,1210,9,596.7392783,quartzite_schist,0
2,25.31494904,1112,12,572.1074342,quartzite_schist,0
3,12.56588936,1543,7,1286.194677,quartzite_schist,0
4,22.15962982,1733,2,773.4756508,quartzite_schist,0
5,19.70246124,878,28,1023.482658,quartzite_schist,0
6,39.51724243,2146,1,1078.083733,quartzite_schist,0
7,33.07141876,1636,95,287.4476116,granite_gneiss,0
8,42.43492889,1254,1,530.5610074,quartzite_schist,0
9,13.16798592,1843,7,1421.011743,augen_gneiss,0
11,20.96525955,1750,0,802.3431245,granite_gneiss,0
12,30.06942558,2023,1,1715.870047,augen_gneiss,0
13,20.73057747,1174,0,855.6870973,quartzite_schist,0
14,47.37022018,1484,1,1576.242498,granite_gneiss,0
15,24.79968834,1225,2,1132.25308,quartzite_schist,0
16,11.21716404,1502,31,532.9090812,quartzite_schist,0
17,12.74121857,2273,21,2517.189931,quartzite_schist,0
18,16.23188019,2019,2,1415.814389,granite_gneiss,0
19,17.22839546,2344,1,2076.749156,quartzite_schist,0
21,9.156208038,1936,0,1484.591067,quartzite_schist,0
22,24.86591911,1846,1,1941.037675,quartzite_schist,0
23,18.98689651,1608,0,819.7257897,quartzite_schist,0
24,20.90869904,2365,0,1245.862362,augen_gneiss,0
25,25.78660965,1425,1,617.9802708,granite_gneiss,0
26,19.95361328,1423,2,933.0244384,augen_gneiss,0
27,7.18952322,2027,2,439.5643643,augen_gneiss,0
28,12.68890762,1474,1,859.2559768,quartzite_schist,0
29,32.75857162,471,2,67.30312677,quartzite_schist,0
31,41.01234055,2174,0,989.375922,augen_gneiss,0
32,13.2805357,1269,0,885.2081362,augen_gneiss,0
33,18.61688614,2035,11,1344.449753,augen_gneiss,0
34,19.28469276,688,11,546.2454912,quartzite_schist,0
35,29.59191895,549,4,658.3744807,quartzite_schist,0
36,8.640693665,2091,0,2057.874977,quartzite_schist,0
37,17.46955872,1748,0,1583.856917,granite_gneiss,0
38,25.11370277,774,9,349.7628823,quartzite_schist,0
39,17.9829998,932,0,688.6083092,quartzite_schist,0
41,17.97435379,1149,0,898.5970597,quartzite_schist,0
42,17.1307373,331,1,57.58407869,quartzite_schist,0
43,33.45917892,1079,6,1083.106176,quartzite_schist,0
44,15.4913559,1738,2,1783.464469,quartzite_schist,0
45,14.41868114,923,14,703.217239,quartzite_schist,0
46,28.73174095,1459,32,921.5269628,quartzite_schist,0
47,13.97710228,1282,1,538.360278,quartzite_schist,0
48,12.94806576,1208,7,490.5317099,quartzite_schist,0
49,7.687711239,1370,12,1526.193734,quartzite_schist,0
51,26.02937698,1190,0,867.0295989,quartzite_schist,0
52,21.76945114,2000,1,2651.368088,quartzite_schist,0
53,12.07348537,2071,22,1711.291982,quartzite_schist,0
54,19.66146851,1871,68,1239.94563,quartzite_schist,0
55,27.50566864,1193,3,753.7761044,quartzite_schist,0
56,24.48132324,1293,4,1750.191601,quartzite_schist,0
